property_id,url,source,scrape_date,posting_date,html_path,property_type,category,transaction_type,new_construction,price,price_per_sqm,vat,cadastral_income,street,house_number,postal_code,locality,province,region,latitude,longitude,bedrooms,bedroom_surfaces,livable_surface,living_room_surface,kitchen_surface,kitchen_equipment,bathrooms,showers,toilets,build_year,currently_leased,furnished,heating_type,glazing_type,heat_pump,solar_panels,air_conditioning,primary_energy_consumption,epc,electrical_certificate,facades,facade_orientation,garden,garden_surface,garden_orientation,terrace,terrace_surface,balcony,garage,garages,indoor_parking,outdoor_parking,cellar,swimming_pool,elevator,running_water,flooding_area_type,demarcated_flooding_area,flood_g_score,flood_p_score,availability,building_state,land_surface,ground_depth,terrain_width,number_of_floors,apartment_floor,maintenance_cost,co_ownership_charges,nearest_city,nearest_city_distance_km
rbw08778,https://immovlan.be/en/detail/apartment/for-rent/1000/brussels/rbw08778,ImmoVlan,2026-06-15,2026-06-01,/Volumes/nstephane/Dev/AI_Data_Science_training/immo-eliza-scraping/data/html/rbw08778.html,flat,apartment,for-rent,0,1500,50.0,,,Quai à la Houille,,1000,Brussels,Brussels,Brussels,50.854353,4.3472459,,,30,,,,,,,,0,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,4,,,Brussels,0.87
rbw13320,https://immovlan.be/en/detail/apartment/for-rent/1000/brussels/rbw13320,ImmoVlan,2026-06-15,2026-06-06,/Volumes/nstephane/Dev/AI_Data_Science_training/immo-eliza-scraping/data/html/rbw13320.html,flat,apartment,for-rent,0,1450,18.83,,,Rue des Patriotes,,1000,Brussels,Brussels,Brussels,50.8472219,4.3883683,,,77,,,,,,,,0,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,,,Brussels,2.7
rbw08783,https://immovlan.be/en/detail/apartment/for-rent/1000/brussels/rbw08783,ImmoVlan,2026-06-15,2026-06-01,/Volumes/nstephane/Dev/AI_Data_Science_training/immo-eliza-scraping/data/html/rbw08783.html,flat,apartment,for-rent,0,1600,47.06,,,Quai à la Houille,,1000,Brussels,Brussels,Brussels,50.854353,4.3472459,,,34,,,,,,,,0,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,3,,,Brussels,0.87
rbw13321,https://immovlan.be/en/detail/apartment/for-rent/1000/brussels/rbw13321,ImmoVlan,2026-06-15,2026-06-06,/Volumes/nstephane/Dev/AI_Data_Science_training/immo-eliza-scraping/data/html/rbw13321.html,flat,apartment,for-rent,0,2090,29.86,,,Rue de la Tribune,,1000,Brussels,Brussels,Brussels,50.8482638,4.3652509,,,70,,,,,,,,0,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,3,,,Brussels,1.09
rbw15969,https://immovlan.be/en/detail/apartment/for-rent/1000/brussels/rbw15969,ImmoVlan,2026-06-15,2026-06-08,/Volumes/nstephane/Dev/AI_Data_Science_training/immo-eliza-scraping/data/html/rbw15969.html,flat,apartment,for-rent,0,1870,37.4,,,Rue de la Croix de Fer,,1000,Brussels,Brussels,Brussels,50.8482876,4.3653943,,,50,,,,,,,,0,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,2,,,Brussels,1.1
rbw16284,https://immovlan.be/en/detail/apartment/for-rent/1000/brussels/rbw16284,ImmoVlan,2026-06-15,2026-06-08,/Volumes/nstephane/Dev/AI_Data_Science_training/immo-eliza-scraping/data/html/rbw16284.html,flat,apartment,for-rent,0,1650,13.2,,,RUE DE SPA,52,1000,Brussels,Brussels,Brussels,50.8474669,4.37497898,2,,125,40,,,2,,1,,0,0,,,,,,132,C,0,,,,,,1,20,,,,,,,,1,,,,,,Immediately,,,,,,1,260,,Brussels,1.76
rbw16283,https://immovlan.be/en/detail/apartment/for-rent/1000/brussels/rbw16283,ImmoVlan,2026-06-15,2026-06-08,/Volumes/nstephane/Dev/AI_Data_Science_training/immo-eliza-scraping/data/html/rbw16283.html,flat,apartment,for-rent,0,1895,23.4,,,Rue Antoine Dansaert,64 5,1000,Brussels,Brussels,Brussels,50.8501582,4.34601397,2,,81,30,,,1,,1,,0,0,Gas,,,,,186,D,1,2,,,,,,,,,,,,,,0,,,,,,Immediately,Normal,,,,4,4,,,Brussels,0.47
rwc41906,https://immovlan.be/en/detail/apartment/for-rent/1000/brussels/rwc41906,ImmoVlan,2026-06-15,2026-02-25,/Volumes/nstephane/Dev/AI_Data_Science_training/immo-eliza-scraping/data/html/rwc41906.html,flat,apartment,for-rent,0,2474,29.11,,,Rue du Pays de Liège,4,1000,Brussels,Brussels,Brussels,50.8527798,4.346138,3,,85,,,Super equipped,2,,,,,1,Gas,Double glass,,,,,,,,,,,,,,,,,,,,,,1,,,,,From 26/02/2026,Excellent,,,,,1,,,Brussels,0.73
rwc42389,https://immovlan.be/en/detail/apartment/for-rent/1000/brussels/rwc42389,ImmoVlan,2026-06-15,2026-04-24,/Volumes/nstephane/Dev/AI_Data_Science_training/immo-eliza-scraping/data/html/rwc42389.html,flat,apartment,for-rent,0,1245,14.65,,,Rue Leonlepage,14,1000,Brussels,Brussels,Brussels,50.851817,4.3447652,1,,85,,,,1,,,,,,,,0,0,0,,,,2,,,,,1,,,,,,,,,,,,,,,,Fully renovated,,,,,,150,,Brussels,0.67
rwc42542,https://immovlan.be/en/detail/apartment/for-rent/1000/brussels/rwc42542,ImmoVlan,2026-06-15,2026-05-14,/Volumes/nstephane/Dev/AI_Data_Science_training/immo-eliza-scraping/data/html/rwc42542.html,flat,apartment,for-rent,0,7360,75.1,,,Rue du Miroir,7,1000,Brussels,Brussels,Brussels,50.8401418,4.3471979,3,,98,,,Super equipped,3,,,,,1,Gas,Double glass,,,,,,,,,,,,1,,,,,,,,,1,1,,,,,From 18/05/2026,Excellent,,,,,,,,Brussels,0.75
rwc42565,https://immovlan.be/en/detail/apartment/for-rent/1000/brussels/rwc42565,ImmoVlan,2026-06-15,2026-05-19,/Volumes/nstephane/Dev/AI_Data_Science_training/immo-eliza-scraping/data/html/rwc42565.html,flat,apartment,for-rent,0,1395,13.95,,,Handelskaai,,1000,Brussels,Brussels,Brussels,50.8564808,4.3482102,1,,100,55,,Fully equipped,1,,,2006,,0,Gas,Double glass,0,0,,,C,0,1,,,,,1,,,,,,,1,,1,1,,,,,Immediately,Excellent,,,,,1,85,,Brussels,1.09
